順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
302,モビコール,84900,30,2.019,0.168,27,73,1,7,16,23,20,16,17
303,エビリファイ,79900,30,2.19,0.666,29,71,2,10,16,28,24,13,7
304,脳神経内科,78800,30,2.04,-7.829,32,68,1,5,7,21,26,19,21
305,ヘルプマーク 入手方法,78700,30,2.03,24.663,25,75,2,6,11,19,27,21,14
306,ジュニアシート いつから,78400,30,2.241,-56.118,25,75,0,7,49,24,6,10,4
307,カウプ指数,77500,30,2.214,62.248,13,87,1,15,47,25,5,4,3
308,入学式 服装 ママ,75200,30,2.176,20.032,8,92,1,3,29,41,18,4,4
309,ハッピーセット 次回,74900,30,2.124,-85.182,21,79,1,4,44,40,6,3,2
310,癇癪とは,74200,30,2.222,96.564,28,72,7,22,31,19,9,6,6
311,脳梗塞 後遺症,72300,30,2.327,-11.097,33,67,1,5,8,18,27,21,20
312,adhd 子供,70300,30,2.116,-10.019,14,86,1,3,29,38,12,9,8
313,adl 意味,66900,30,2.475,-18.126,33,67,2,9,8,15,26,23,17
314,アンパンマンミュージアム 名古屋,62100,30,2.403,4.661,27,73,1,14,49,18,7,8,3
315,リハビリテーション病院,54700,30,2.602,-9.54,33,67,1,3,5,14,26,24,27
316,プラダーウィリー症候群,52800,30,2.588,-35.689,10,90,4,33,24,17,12,7,3
317,知的障害と発達障害違い,50700,30,2.621,-26.632,26,74,2,9,16,24,23,15,11
318,自閉症 診断,48600,30,2.562,-51.723,26,74,3,9,20,24,17,15,12
319,就労支援 a b 違い,43300,30,2.748,-127.519,35,65,1,9,13,23,29,17,8
