順位,キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
23,自殺問題,65900,70,2.55,-22.859,28,72,1,4,12,24,25,17,17
24,暴力事件,100000,70,2.193,-35.028,36,64,1,3,11,25,25,17,18
25,統合失調症 話し方 特徴,98000,70,2.144,-36.779,23,77,2,5,10,23,29,18,13
26,掃除,113000,70,2.071,-40.941,21,79,1,1,6,16,26,24,26
27,京都府,155000,70,1.744,-37.589,46,54,1,4,9,19,23,20,24
28,グループホーム,209000,70,1.533,-52.573,35,65,1,4,6,16,29,26,18
29,闇バイト,202000,70,1.491,-20.351,61,39,5,10,15,20,21,15,14
30,生活保護,195000,70,1.425,-63.934,61,39,1,6,11,21,25,20,16
31,サプライズ,65000,60,2.412,-27.538,38,62,2,5,12,21,23,18,19
32,天才,70000,60,2.403,-33.11,41,59,2,4,12,23,22,17,20
33,大阪府の事件事故情報,83100,60,2.205,-39.381,42,58,1,5,14,25,24,16,15
34,解離性障害,79500,60,2.184,-27.97,28,72,4,13,17,23,23,13,7
35,生活習慣病,90800,60,2.161,-21.306,30,70,6,6,9,18,24,18,19
36,北海道の事件事故情報,95800,60,2.012,-20.863,37,63,1,4,13,25,24,17,16
37,進撃のグルメ(クリエイター),95200,60,1.977,-20.831,47,53,2,6,15,26,26,15,10
38,米国の輸入制限を巡る動き,127000,60,1.815,-57.097,69,31,1,2,8,18,22,21,28
39,田代まさし,149000,60,1.61,-27.817,56,44,3,8,14,25,24,16,10
40,承認欲求とは,167000,60,1.457,-162.209,39,61,5,7,12,23,28,16,9
41,大の里 泰輝,42600,50,2.683,-19.109,54,46,1,1,4,10,16,23,45
42,逃走脱走,49700,50,2.482,-25.499,44,56,1,5,13,24,24,16,17
43,フルニトラゼパム,57900,50,2.479,-56.815,36,64,1,12,16,23,24,15,9
44,オランザピン,61700,50,2.278,-36.886,32,68,1,13,15,24,24,14,9
45,医師,72500,50,2.191,-44.157,32,68,1,4,10,20,22,19,24
46,インタビュー,74000,50,2.189,-22.146,40,60,1,3,10,20,24,20,22
47,値上げ,84700,50,2.039,-19.913,50,50,1,5,15,25,25,15,14
48,ファッションチェック,81800,50,2.011,-49.103,21,79,1,2,8,24,27,20,18
49,睡眠障害,98000,50,1.9,-37.813,36,64,4,10,12,20,25,15,14
50,障害者,99100,50,1.795,-45.069,48,52,2,3,5,12,26,29,23
51,もっと,119000,50,1.765,-59.624,38,62,2,2,6,20,29,21,20
52,自殺,117000,50,1.725,-45.081,51,49,10,14,19,23,19,9,6
53,カフェイン,109000,50,1.701,-22.124,45,55,4,7,12,20,24,18,15
54,高次脳機能障害,111000,50,1.686,-29.878,31,69,2,10,13,21,24,17,13
55,自己愛性パーソナリティー障害,106000,50,1.679,-44.603,21,79,2,11,20,28,23,11,5
56,戻る,122000,50,1.64,-48.57,37,63,1,3,5,13,24,25,29
57,ミニマリスト,132000,50,1.632,-24.474,32,68,3,7,12,22,25,17,14
58,境界性パーソナリティ障害,119000,50,1.61,-48.798,22,78,5,19,19,22,20,10,5
59,パーソナリティ障害,133000,50,1.591,-92.951,22,78,3,11,16,24,25,14,7
60,医療保険,156000,50,1.508,-50.215,41,59,1,5,10,18,25,22,19
61,megumi,136000,50,1.497,-31.127,55,45,2,10,17,25,23,13,10
62,不安障害,164000,50,1.424,-56.795,27,73,7,16,18,24,21,9,5
63,鳥取県,164000,50,1.397,-44.41,59,41,1,3,6,14,21,26,29
64,農林水産省,160000,50,1.35,-24.286,58,42,2,5,8,18,23,21,23
65,ランソプラゾール,188000,50,1.318,-30.286,32,68,1,9,10,17,23,20,20
66,占い 無料,188000,50,1.317,-20.891,18,82,7,15,12,21,27,12,6
67,mdma,20500,40,3.287,-19.195,58,42,12,27,19,19,13,6,4
68,シンプリストうた(クリエイター),22100,40,3.221,-32.564,10,90,0,1,4,13,25,28,29
69,入園入学式,40300,40,2.524,-34.595,27,73,1,3,11,25,24,17,19
70,精神科,46700,40,2.511,-22.713,39,61,10,17,14,17,18,14,10
71,変死事件,44800,40,2.479,-75.595,31,69,1,4,14,25,24,16,16
72,子どもをめぐる課題,48100,40,2.445,-28.849,23,77,1,3,16,28,22,15,15
73,高齢化社会,42100,40,2.429,-69.893,30,70,2,3,6,13,21,25,30
74,精神安定剤,42900,40,2.42,-33.372,42,58,4,11,13,19,21,16,16
75,アカシジアとは,62000,40,2.102,-75.306,25,75,3,13,14,23,26,14,7
76,ジアゼパム,58000,40,2.085,-62.03,31,69,1,15,15,22,23,14,10
77,バルプロ酸ナトリウム,63100,40,2.072,-30.316,28,72,1,12,16,25,25,14,7
78,愛知県の事件事故情報,72300,40,1.974,-23.836,39,61,1,5,15,25,25,15,14
79,エビリファイ,73200,40,1.949,-93.869,29,71,2,10,16,29,24,13,6
80,公認心理師,71200,40,1.949,-26.373,31,69,6,9,14,27,25,12,7
81,人権,69900,40,1.902,-37.518,43,57,2,4,9,22,24,19,20
82,レキサルティ,85700,40,1.85,-24.45,32,68,1,10,15,25,26,15,8
83,政局,97800,40,1.763,-46.989,66,34,1,4,9,17,21,20,28
84,法テラス,101000,40,1.732,-38.33,49,51,2,8,15,22,24,16,13
85,行方不明,94200,40,1.723,-28.337,36,64,3,5,14,25,24,15,14
86,シカゴカブス,86500,40,1.711,-57.886,67,33,1,5,10,15,21,21,27
87,記事,100000,40,1.573,-97.754,38,62,1,1,4,14,25,24,31
88,発達障害,116000,40,1.525,-43.814,31,69,3,7,16,26,22,14,12
89,ギフテッドとは 意味,102000,40,1.522,-133.876,25,75,2,5,10,19,24,23,17
90,眠れない,108000,40,1.504,-47.188,24,76,4,9,17,25,23,13,9
91,長崎県,123000,40,1.463,-35.177,46,54,2,4,10,19,22,20,23
92,レジリエンスとは,112000,40,1.437,-24.583,50,50,2,8,8,18,25,20,19
93,声優,136000,40,1.429,-30.969,39,61,5,7,13,22,23,16,14
94,続き,117000,40,1.405,-44.11,39,61,1,3,8,19,26,22,21
95,熊本県,140000,40,1.385,-23.142,48,52,1,4,9,18,22,21,25
96,ます。,149000,40,1.374,-60.835,33,67,2,3,6,13,22,24,30
97,閉経前の生理の特徴,108000,40,1.357,-53.092,9,91,1,1,4,47,44,1,2
98,ピアノ,155000,40,1.351,-57.619,33,67,9,6,12,21,16,15,21
99,レビー小体型認知症,129000,40,1.338,-28.516,27,73,1,7,9,17,27,21,18
100,吐き気 原因,125000,40,1.332,-46.052,26,74,4,12,14,22,24,13,11
101,創価学会とは,127000,40,1.316,-112.92,45,55,7,14,13,16,18,16,16
102,する,156000,40,1.308,-95.837,41,59,2,4,6,14,22,22,30
103,当帰芍薬散,153000,40,1.3,-37.568,16,84,1,7,15,26,26,13,12
104,映画監督,25000,30,2.86,-19.008,38,62,2,5,6,15,22,22,28
105,マミ(クリエイター),28800,30,2.806,-38.774,14,86,0,1,4,11,24,27,33
106,訪日外国人旅行,24200,30,2.697,-27.729,44,56,1,2,8,18,24,21,26
107,流行ブーム,33700,30,2.563,-51.458,42,58,1,3,10,24,26,18,18
108,高英起,29300,30,2.525,-55.484,59,41,1,3,6,14,19,21,36
109,パキシル,32600,30,2.465,-19.147,35,65,1,9,14,24,25,16,11
110,新潟県の事件事故情報,32700,30,2.453,-31.667,41,59,1,4,12,25,24,17,17
111,ミルタザピン錠15mg,36300,30,2.396,-19.452,31,69,1,4,6,21,30,21,17
112,エスゾピクロン1mg,34700,30,2.345,-34.855,30,70,1,5,7,14,23,22,28
113,イスラエル国,33600,30,2.33,-19.225,67,33,1,4,7,17,21,21,29
114,新入学,34900,30,2.306,-77.499,25,75,2,3,11,26,24,15,19
115,ハプニング,34100,30,2.305,-34.337,43,57,1,4,9,17,20,21,28
116,葉物野菜,45700,30,2.294,-23.182,28,72,0,3,8,15,20,21,33
117,イメージチェンジ,38700,30,2.238,-58.702,31,69,1,3,13,25,26,17,15
118,いる。,51200,30,2.176,-168.423,37,63,1,2,4,12,22,24,35
119,時代劇,39100,30,2.174,-54.916,33,67,1,3,6,12,21,24,33
120,サイレース,50400,30,2.171,-22.443,40,60,3,14,17,22,21,13,10
121,デュロキセチンカプセル20mg,51200,30,2.157,-51.261,30,70,1,4,7,16,28,23,21
122,終活,51000,30,2.079,-43.713,35,65,1,4,8,15,23,22,27
123,コーヒーソムリエkazu(クリエイター),41900,30,2.037,-57.127,13,87,1,3,12,23,30,19,12
124,訪問看護ステーションとは,48000,30,2.028,-50.579,30,70,1,6,10,23,29,19,12
125,抗議,54100,30,1.992,-21.694,53,47,2,5,10,19,22,19,23
126,富裕層,47800,30,1.984,-26.911,47,53,1,3,8,19,25,23,21
127,うつ病 治し方,48200,30,1.965,-55.754,39,61,4,11,14,22,25,14,10
128,福岡県の事件事故情報,53600,30,1.948,-19.283,39,61,1,5,16,26,24,15,13
129,jpop,47100,30,1.938,-53.655,41,59,5,6,9,21,24,18,17
130,埼玉県の事件事故情報,59400,30,1.933,-35.553,39,61,1,5,13,24,24,17,16
131,演歌,54400,30,1.919,-44.418,50,50,2,3,4,10,14,16,51
132,芸能人の結婚,60400,30,1.866,-31.828,32,68,2,5,15,25,23,15,15
133,難聴,61800,30,1.848,-23.202,37,63,2,4,8,17,23,21,25
134,綾瀬はるか 結婚,56000,30,1.847,-24.288,43,57,2,7,11,14,18,22,26
135,毒親,62000,30,1.846,-29.646,29,71,5,9,15,23,24,13,11
136,リボトリール,59800,30,1.811,-74.586,33,67,1,10,14,23,24,16,12
137,東京都のスポーツ,59500,30,1.807,-50.658,77,23,2,7,15,23,23,15,15
138,adhd 症状,59100,30,1.79,-31.359,32,68,8,13,13,22,22,13,9
139,クロチアゼパム錠5mg,68400,30,1.778,-20.027,26,74,1,7,11,20,26,18,17
140,手のひら かゆい,69000,30,1.746,-117.448,25,75,2,7,13,23,26,17,12
141,一人暮らし,78600,30,1.732,-28.303,34,66,6,17,10,15,27,14,11
142,エチゾラム錠0.5mg,64900,30,1.727,-130.388,33,67,1,4,6,13,22,24,30
143,大豆 レシピ,76800,30,1.717,-40.799,17,83,1,2,8,16,22,22,29
144,米子市,66700,30,1.661,-72.472,52,48,2,4,9,17,22,23,23
145,ヨガ,83800,30,1.62,-115.859,28,72,2,6,11,23,26,16,16
146,厚労省,74100,30,1.613,-59.031,48,52,1,4,8,18,26,23,20
147,強度行動障害,85100,30,1.597,-103.309,23,77,1,7,18,29,25,13,7
148,仕事ができない人 特徴,64900,30,1.574,-38.56,34,66,1,10,17,31,28,10,3
149,です,80700,30,1.558,-83.051,37,63,3,3,5,14,23,22,30
150,躁鬱病,75000,30,1.558,-60.235,35,65,7,17,16,19,19,13,9
151,顔のたるみ解消,73400,30,1.532,-57.317,17,83,1,2,7,25,34,21,10
152,節約,76700,30,1.531,-37.913,26,74,1,4,12,23,23,18,19
153,銀行振込手数料,98400,30,1.522,-36.666,38,62,2,4,5,12,22,24,31
154,脳神経内科,78400,30,1.522,-26.781,32,68,1,5,7,21,26,19,21
155,俯瞰,77800,30,1.512,-86.558,42,58,5,8,12,19,23,17,16
156,エスゾピクロン,77600,30,1.49,-61.825,33,67,1,12,15,22,24,14,12
157,どうすればよかったか 映画,88100,30,1.479,-56.283,23,77,1,7,13,25,29,17,8
158,グラビアアイドル,96300,30,1.477,-41.029,73,27,4,7,16,25,25,13,10
159,ヘアスタイル,84500,30,1.476,-48.381,18,82,1,4,13,24,27,17,14
160,お腹が痛い,99300,30,1.467,-53.961,30,70,6,7,10,21,25,17,14
161,共有,79400,30,1.455,-35.636,41,59,9,5,8,18,21,19,20
162,仕事探し,95600,30,1.443,-41.077,34,66,2,10,12,22,28,17,9
163,自己破産後の生活,86000,30,1.425,-69.733,44,56,1,11,17,22,24,15,10
164,股関節の痛み,95500,30,1.42,-41.611,27,73,3,4,7,18,27,21,20
165,カスタマーハラスメント,92200,30,1.407,-39.876,48,52,1,4,9,18,25,20,23
166,大阪関西万博(2025年日本国際博覧会),88200,30,1.394,-55.847,41,59,1,3,8,19,25,22,22
167,簡単レシピ,83800,30,1.392,-40.881,28,72,3,7,8,18,25,22,17
168,加味逍遥散,104000,30,1.382,-67.68,13,87,1,5,12,31,35,10,6
169,卒業式,108000,30,1.379,-77.953,31,69,4,5,10,31,26,12,12
170,そう鬱 症状,86600,30,1.378,-20.586,33,67,5,20,19,22,20,8,6
171,三毛猫,85300,30,1.374,-162.917,42,58,5,10,17,24,22,13,9
172,たけのこ 保存,107000,30,1.373,-44.848,19,81,0,2,7,14,24,25,28
173,gackt,110000,30,1.369,-40.667,47,53,4,9,17,23,23,13,11
174,臨床心理士,98800,30,1.358,-31.642,31,69,7,8,14,27,24,12,8
175,吐き気 抑える方法,109000,30,1.345,-66.719,24,76,12,19,18,21,17,8,5
176,夏川りみ,96600,30,1.345,-40.607,54,46,1,5,7,14,20,23,30
177,歌舞伎症候群,111000,30,1.339,-162.808,14,86,2,6,17,31,25,13,6
178,尼崎市,104000,30,1.336,-56.741,48,52,2,4,7,13,23,25,26
179,スキマ時間 バイト,106000,30,1.333,-184.057,30,70,1,5,9,26,31,19,9
180,伊丹十三,89200,30,1.32,-29.968,43,57,1,3,6,17,26,23,24
181,フォシーガ,105000,30,1.314,-54.161,35,65,1,9,13,23,25,16,13
182,ピーターパン症候群,98100,30,1.306,-180.407,26,74,5,13,16,26,23,11,6
183,少年犯罪と少年法,9200,20,3.425,-26.994,36,64,1,4,11,28,26,16,14
184,デイビッドベッカム,12200,20,3.051,-38.916,33,67,3,6,10,24,23,16,18
185,ブロン,12800,20,2.968,-20.335,40,60,9,12,14,22,21,13,9
186,国立精神神経医療研究センター,13600,20,2.893,-55.691,36,64,1,8,12,23,25,18,13
187,少年院,16000,20,2.837,-38.339,48,52,13,13,17,26,17,8,6
188,コカイン,14200,20,2.833,-33.486,65,35,6,19,23,23,15,8,6
189,コルサコフ症候群,15100,20,2.82,-21.665,34,66,2,22,13,18,21,15,9
190,高学歴,15100,20,2.792,-62.271,41,59,2,4,7,21,28,18,20
191,篠原修司,14600,20,2.789,-19.876,51,49,2,5,12,24,25,16,16
192,"kōki,",16700,20,2.756,-22.955,18,82,1,3,7,18,30,21,20
193,統合失調症 寿命,16000,20,2.755,-45.433,26,74,2,4,10,19,28,21,16
194,心的外傷(トラウマ),20500,20,2.62,-23.016,35,65,1,3,12,26,26,17,15
195,車の雑学,22700,20,2.607,-19.909,59,41,1,2,7,18,27,23,22
196,マネープラン,23500,20,2.517,-26.394,26,74,0,2,6,21,35,24,12
197,目の下のクマ 原因,25200,20,2.513,-49.741,32,68,1,6,11,25,27,18,12
198,医療的ケア児,23500,20,2.505,-24.558,24,76,2,9,18,27,23,13,8
199,クエチアピン 効果,26200,20,2.503,-56.399,26,74,1,9,11,21,28,20,10
200,食品への異物混入,24900,20,2.497,-88.723,41,59,2,6,15,26,24,14,13
201,生活保護制度,22300,20,2.478,-24.05,37,63,1,3,6,15,24,24,27
202,双極性障害 接し方,21000,20,2.456,-57.874,26,74,2,6,10,21,32,19,10
203,オランザピン 効果,21500,20,2.433,-40.091,27,73,1,9,11,21,28,18,12
204,死体遺棄事件,22900,20,2.431,-74.772,34,66,1,5,14,24,25,17,14
205,過食嘔吐,22300,20,2.418,-31.691,17,83,10,21,20,26,16,4,3
206,脳性麻痺,22200,20,2.418,-24.587,24,76,2,13,19,23,19,13,11
207,東京都品川区,24000,20,2.408,-26.16,38,62,1,3,10,23,28,18,17
208,客室乗務員,25200,20,2.392,-71.268,39,61,4,8,11,20,24,17,16
209,レキソタン,28500,20,2.386,-60.03,34,66,2,9,15,24,25,15,10
210,ピン芸人,23000,20,2.339,-54.75,50,50,2,7,12,23,26,14,16
211,介護職,25900,20,2.329,-51.137,30,70,1,5,9,22,31,19,13
212,ドーピング,32400,20,2.285,-70.691,49,51,5,9,14,23,21,14,14
213,史上初,25600,20,2.234,-21.738,68,32,2,6,13,20,20,17,22
214,べらぼう(2025年 nhk大河ドラマ),34000,20,2.216,-25.953,25,75,0,1,4,11,23,31,30
215,宮城県の事件事故情報,29100,20,2.197,-64.136,35,65,1,5,15,26,25,15,13
216,岡山県の事件事故情報,34200,20,2.139,-72.253,37,63,1,5,13,23,24,17,17
217,閉鎖病棟,30300,20,2.12,-39.536,26,74,6,12,15,21,22,15,9
218,抗不安薬,32300,20,2.099,-20.864,33,67,3,14,17,24,22,12,8
219,すっぴん,35100,20,2.093,-21.087,46,54,2,5,13,24,25,16,15
220,米不足 2024,30600,20,2.046,-171.999,52,48,2,5,10,22,27,19,15
221,トリプタノール,31700,20,2.036,-34.72,28,72,1,8,15,24,26,15,11
222,主婦,40800,20,2.024,-34.384,35,65,1,4,9,19,22,22,23
223,ジェフリーエプスタイン,31500,20,2.021,-31.086,42,58,1,6,13,24,27,17,12
224,ラツーダ,31800,20,2.012,-66.201,34,66,2,13,16,23,25,14,7
225,ウェルニッケ脳症,40100,20,1.994,-32.912,34,66,1,20,18,21,20,13,7
226,ロゼレム,35600,20,1.973,-82.884,33,67,1,9,12,20,23,18,17
227,薬剤師,35400,20,1.95,-23.564,41,59,7,11,15,23,20,12,12
228,ヤクザ,37500,20,1.944,-51.551,63,37,8,15,20,23,18,9,7
229,障害年金受給資格,43800,20,1.904,-45.243,32,68,0,3,7,16,32,30,12
230,裏側,41300,20,1.874,-32.824,45,55,1,3,10,21,25,20,20
231,メイラックス,41700,20,1.871,-40.005,33,67,1,8,13,22,25,17,14
232,手取り,38000,20,1.841,-21.046,44,56,2,10,17,24,22,14,11
233,レンドルミン,42500,20,1.831,-21.749,35,65,1,8,10,17,22,19,23
234,カウンセリング,51400,20,1.827,-34.064,30,70,4,10,14,23,25,14,10
235,野鳥,49600,20,1.823,-63.843,46,54,1,2,5,11,20,26,35
236,航空機事故,52800,20,1.799,-25.637,45,55,2,6,12,22,22,19,17
237,死刑執行,47400,20,1.788,-56.644,49,51,4,10,18,23,23,13,9
238,住宅マンション,40700,20,1.777,-31.152,43,57,0,2,10,22,27,20,19
239,コストパフォーマンス,51100,20,1.771,-32.008,38,62,1,2,8,22,26,19,22
240,エンパワメントとは,42100,20,1.767,-32.767,33,67,4,14,10,22,26,15,9
241,工藤会,37800,20,1.766,-76.559,80,20,3,9,16,25,25,13,9
242,昭和8年は何歳,49200,20,1.726,-47.116,34,66,0,4,10,12,24,41,9
243,精神科 心療内科 違い,53600,20,1.709,-28.87,29,71,5,17,17,23,22,8,8
244,お金を借りる,57600,20,1.707,-23.963,51,49,2,22,23,21,16,10,6
245,編み物,61200,20,1.704,-72.227,13,87,5,10,10,15,21,20,19
246,エリキュース,50800,20,1.69,-111.085,36,64,0,14,13,21,22,16,14
247,猿田彦,44700,20,1.684,-88.367,43,57,1,5,10,19,29,22,14
248,胃下垂,50100,20,1.681,-45.47,37,63,13,27,20,17,12,6,5
249,抑うつ状態とは,57800,20,1.68,-35.53,33,67,4,15,16,23,25,11,6
250,コデインリン酸塩散1%,45900,20,1.679,-81.281,31,69,1,7,15,23,23,17,14
251,その,52400,20,1.656,-92.38,37,63,5,3,6,14,21,21,30
252,グリーフケア,48000,20,1.653,-210.351,24,76,1,8,11,21,26,19,14
253,特別支援学校,45900,20,1.653,-58.515,37,63,3,8,13,28,22,14,12
254,ショーンコムズ,43600,20,1.647,-185.474,35,65,2,6,16,33,25,11,7
255,アメブロ芸能人ランキング,57600,20,1.639,-113.105,11,89,1,1,14,37,23,11,13
256,中居正広 薬物,56800,20,1.618,-24.022,37,63,1,3,13,33,32,13,5
257,国会議員,54600,20,1.602,-83.314,64,36,2,3,6,10,18,25,36
258,認知症 症状,65700,20,1.598,-22.939,26,74,1,4,5,12,29,26,23
259,著作権,49800,20,1.598,-30.187,48,52,7,9,13,24,22,13,12
260,アルプラゾラム,56500,20,1.583,-28.389,32,68,2,18,25,18,18,10,9
261,南海キャンディーズ,52000,20,1.573,-71.837,43,57,3,6,12,21,23,17,18
262,マチコのおすすめ,60900,20,1.56,-127.707,14,86,1,6,16,37,29,7,4
263,ひまわりの約束,65900,20,1.557,-37.997,38,62,15,9,10,23,19,13,11
264,アスペルガー,66100,20,1.548,-79.252,33,67,3,10,19,26,21,12,9
265,スルピリド,62300,20,1.544,-19.99,34,66,1,11,15,24,23,14,12
266,借金救済制度とは,60500,20,1.54,-31.855,49,51,0,13,18,23,25,14,7
267,飲酒運転 罰則,57000,20,1.532,-83.953,53,47,3,16,17,23,22,11,8
268,謹賀新年,60600,20,1.531,-165.228,46,54,4,10,13,18,21,17,17
269,真木蔵人,64400,20,1.525,-82.343,44,56,1,4,11,32,29,12,11
270,reserved.,65200,20,1.522,-67.984,36,64,3,5,7,15,22,23,25
271,です。,74300,20,1.519,-33.899,30,70,1,2,5,13,23,24,32
272,膵臓癌 血液検査でわかる,61000,20,1.502,-30.298,37,63,0,2,5,13,24,26,30
273,見立真一,58400,20,1.501,-51.195,75,25,3,9,17,32,24,9,6
274,東京証券取引所,60500,20,1.497,-49.355,67,33,2,5,7,16,24,23,23
275,アスペルガー 特徴,60800,20,1.48,-48.112,26,74,3,6,13,25,27,16,10
276,袴田事件 真犯人,66800,20,1.466,-187.694,45,55,3,6,12,22,26,18,13
277,花田虎上,64400,20,1.449,-35.92,37,63,0,2,3,14,25,25,31
278,福田克彦,57300,20,1.449,-154.661,51,49,0,4,14,29,28,17,8
279,右脇腹 肋骨の下 痛い,58200,20,1.445,-80.008,32,68,0,3,8,19,30,22,18
280,札幌天気,59300,20,1.444,-121.692,37,63,4,13,10,17,25,19,12
281,修学旅行,58800,20,1.444,-39.924,42,58,14,6,10,29,20,10,11
282,ショート パーマ,56800,20,1.44,-71.24,11,89,1,5,14,24,33,16,7
283,薬,83200,20,1.421,-91.274,49,51,2,5,6,11,17,22,37
284,あずきのチカラ,61700,20,1.421,-108.953,18,82,1,7,15,23,23,15,16
285,無集正,50700,20,1.416,-57.146,91,9,1,4,12,22,30,21,10
286,銀行口座 開設,68300,20,1.415,-28.316,44,56,9,10,9,19,26,15,12
287,唯我独尊,62900,20,1.414,-75.746,46,54,4,9,12,18,20,17,20
288,シュリンク,77500,20,1.412,-97.226,32,68,2,6,12,23,26,19,12
289,山陽道 交通情報,74200,20,1.411,-43.253,47,53,1,6,12,23,28,18,12
290,国民民主党(日本 2018-),72400,20,1.408,-36.943,67,33,1,3,9,17,22,20,28
291,マツダ cx-3,69400,20,1.408,-69.871,58,42,2,9,8,17,30,21,13
292,中,64800,20,1.394,-109.602,46,54,3,5,9,17,22,19,25
293,ヘレンケラー,65000,20,1.388,-104.679,40,60,6,9,13,21,17,15,19
294,瞼がピクピクする,74100,20,1.387,-19.071,35,65,3,11,14,20,25,17,10
295,自閉症 顔つき,67700,20,1.384,-131.918,32,68,3,9,21,23,18,15,11
296,おならが出過ぎる 原因,62900,20,1.383,-135.965,29,71,2,7,12,23,24,17,15
297,セルトラリン,65900,20,1.379,-49.868,29,71,2,13,18,26,23,11,7
298,看護師国家試験 2025,69000,20,1.377,-39.088,22,78,2,25,9,17,31,10,6
299,三井アウトレット北広島,60400,20,1.374,-38.521,34,66,3,10,16,25,24,13,9
300,大型免許,60900,20,1.363,-52.431,83,17,2,10,16,25,28,13,6
301,ドーパミン,81100,20,1.354,-21.439,42,58,5,12,13,19,19,15,17
302,児童養護施設,61900,20,1.354,-29.668,31,69,5,11,16,28,21,11,8
303,ctとmriの違い,79600,20,1.352,-86.651,38,62,2,6,9,18,24,19,22
304,出石そば,62400,20,1.351,-45.438,50,50,1,5,9,19,27,22,17
305,ウォーキング,64200,20,1.346,-24.35,48,52,2,4,9,18,25,23,19
306,倫理とは,65800,20,1.339,-90.042,40,60,11,9,9,21,26,13,11
307,オーグメンチン,76500,20,1.338,-86.958,33,67,1,12,18,24,22,13,10
308,イーロンマスク 何した人,77000,20,1.333,-96.08,29,71,2,6,10,20,23,18,21
309,甘いものが食べたい 原因,66900,20,1.33,-56.201,18,82,6,20,21,19,18,9,7
310,肺がん,72400,20,1.327,-28.59,38,62,2,6,8,15,20,20,29
311,太刀魚 レシピ,65800,20,1.326,-52.368,35,65,0,4,12,22,27,18,17
312,介護福祉士 受験資格,75300,20,1.324,-68.462,29,71,1,6,11,24,33,17,8
313,チラージン,67300,20,1.319,-28.019,26,74,1,10,14,21,23,17,14
314,子宮がん検診,63400,20,1.319,-75.871,10,90,1,13,18,29,23,10,6
315,フォレストガンプ,73300,20,1.316,-41.509,54,46,4,15,20,20,18,13,10
316,嘔吐下痢,65600,20,1.313,-48.558,30,70,2,9,19,22,22,16,10
317,田村瑠奈,66400,20,1.309,-53.04,46,54,1,8,22,31,23,10,5
318,おいしい酢,92600,20,1.305,-47.831,19,81,0,1,4,11,22,26,36
1,双極性障害,738000,260,1.486,-8.766,29,71,3,9,14,24,25,15,10
2,ヘルスケア,454000,240,1.941,-18.229,30,70,1,2,8,20,27,21,21
3,お笑い,349000,210,2.017,-15.37,45,55,1,3,11,25,28,17,15
4,話題,398000,190,1.808,-15.353,39,61,2,3,11,23,26,18,17
5,フジテレビジョン,403000,190,1.764,-12.108,39,61,1,3,9,22,27,20,18
6,東京都,534000,190,1.551,-18.279,47,53,1,3,7,16,22,23,28
7,sns,525000,190,1.551,-2.005,46,54,1,3,9,18,22,20,27
8,アメリカ合衆国,310000,170,1.997,-14.409,53,47,1,2,6,16,21,23,31
9,うつ病の症状,470000,170,1.521,-4.796,34,66,4,11,13,22,25,14,11
10,発達障害とは,477000,170,1.514,-9.134,31,69,2,4,12,25,25,18,14
11,離婚,280000,150,1.895,-7.207,32,68,1,3,13,25,25,17,16
12,神奈川県,486000,150,1.386,-17.057,46,54,2,3,7,17,23,22,26
13,日本テレビ,512000,150,1.344,-4.992,43,57,1,3,8,19,26,23,20
14,オーバードーズ,224000,140,2.116,-3.988,40,60,5,8,11,18,21,18,19
15,認知症,464000,140,1.383,-14.006,35,65,1,3,4,13,28,25,26
16,パニック障害,307000,130,1.661,-14.371,32,68,4,12,16,25,23,12,8
17,イケメン,196000,120,2.062,-11.148,32,68,7,7,12,22,20,14,18
18,福岡県,345000,120,1.518,-7.465,44,56,2,4,11,20,23,19,21
19,イヌ,145000,110,2.272,-9.996,26,74,1,2,6,18,27,22,24
20,フジテレビ系ドラマ,165000,110,2.119,-3.994,24,76,1,2,8,20,30,23,16
21,物議,229000,110,1.843,-6.722,43,57,1,3,11,23,25,19,18
22,静岡県,382000,110,1.331,-7.118,48,52,2,3,8,18,23,22,24
23,なぜ,196000,100,1.906,-17.185,53,47,1,3,9,20,25,20,22
24,東京都の事件事故情報,131000,90,2.139,-15.345,39,61,1,5,14,25,24,16,15
25,精神疾患,138000,90,2.091,-10.197,41,59,6,9,11,19,25,18,12
26,発達障害とは 大人特徴,174000,90,1.875,-4.785,30,70,1,5,11,22,30,19,12
27,謝罪,177000,90,1.803,-9.78,45,55,1,5,13,24,25,16,16
28,ギャンブル依存症,48200,80,3.01,-3.965,56,44,1,10,19,24,23,13,10
29,教員,124000,80,2.151,-1.597,40,60,2,6,14,26,23,16,13
30,障害年金,208000,80,1.596,-9.178,40,60,1,5,10,19,30,23,12
31,自由民主党(日本),218000,80,1.542,-15.062,66,34,1,4,9,16,20,21,29
32,格闘技,244000,80,1.412,-15.025,73,27,1,5,15,28,26,14,11
33,心不全,258000,80,1.357,-7.985,34,66,1,7,11,18,24,19,20
34,引きこもり,59800,70,2.725,-14.038,29,71,2,4,10,25,26,16,17
35,クエチアピン,100000,70,2.213,-10.058,29,71,1,12,14,23,25,16,9
36,いじめ,121000,70,1.957,-3.427,37,63,4,5,11,25,24,16,15
37,活動休止解散(芸能界),128000,70,1.921,-8.283,35,65,1,5,14,26,27,15,12
