順位,キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
104,オーストラリア連邦,21700,20,2.552,13.383,47,53,1,3,7,17,23,22,27
105,ナナホシ(クリエイター),21400,20,2.539,14.392,14,86,1,2,17,42,18,11,9
106,lsd,22600,20,2.492,6.63,68,32,7,20,18,20,18,10,7
107,悪性症候群,22200,20,2.488,12.938,35,65,1,23,19,23,19,10,5
108,措置入院とは,21000,20,2.449,4.485,34,66,2,9,11,22,26,18,12
109,川の事故,26300,20,2.377,16.628,32,68,1,4,15,27,23,16,14
110,尾形貴弘,24500,20,2.276,11.947,42,58,2,4,13,26,23,16,16
111,投稿,29500,20,2.273,16.907,46,54,2,3,6,15,24,22,28
112,ロラゼパム0.5mg,29700,20,2.224,18.376,30,70,1,6,11,20,27,20,15
113,精神障害 2級,25800,20,2.199,3.127,43,57,1,7,14,23,29,17,9
114,トラゾドン塩酸塩錠25mg,34900,20,2.173,16.024,30,70,1,7,9,18,27,21,17
115,一問一答,30700,20,2.169,5.368,62,38,8,8,12,21,22,14,15
116,アウトリーチとは,31100,20,2.163,1.668,40,60,1,9,11,20,25,19,15
117,団地,37700,20,2.133,9.712,30,70,3,6,10,16,24,21,20
118,世帯分離 デメリット,29300,20,2.133,8.641,29,71,0,4,9,19,31,25,12
119,ミステリー,32400,20,2.062,12.339,39,61,3,6,11,19,22,20,19
120,ベルソムラ15mg,44300,20,2.014,17.003,35,65,0,4,5,11,18,23,39
121,就労移行支援,33700,20,1.947,1.805,33,67,2,14,15,24,28,11,6
122,アメリカ政治,35500,20,1.939,3.111,68,32,1,3,8,18,21,20,29
123,東京都豊島区,39400,20,1.912,15.581,37,63,1,3,11,24,27,18,16
124,バラエティ番組,38800,20,1.83,16.162,37,63,2,5,11,23,26,18,15
125,県営住宅,40800,20,1.823,13.74,26,74,1,5,11,21,26,20,16
126,ロフラゼプ酸エチル錠1mg,41300,20,1.789,3.407,30,70,1,7,12,22,26,18,14
127,デエビゴ錠,45300,20,1.774,14.022,34,66,1,5,8,16,24,22,24
128,脳神経内科 脳神経外科 違い,43800,20,1.756,6.638,29,71,1,5,9,20,28,19,18
129,太極拳,65100,20,1.68,6.16,28,72,2,4,5,10,17,21,41
130,関東甲信地方の防災気象情報,50500,20,1.66,10.461,42,58,1,5,12,22,24,19,17
131,河野景子,54800,20,1.571,1.115,38,62,1,2,6,14,27,25,25
132,瞳孔が開く,52600,20,1.549,14.634,36,64,5,9,14,21,24,15,12
133,デーブロバーツ(外野手),62000,20,1.535,12.385,66,34,1,2,7,12,18,23,37
134,スキージャンプ,60000,20,1.531,17.555,49,51,1,3,8,17,23,24,24
135,民泊,52500,20,1.505,16.53,46,54,2,5,13,27,25,15,13
136,サンディエゴパドレス,57500,20,1.487,16.996,72,28,2,5,10,15,18,20,30
137,関東連合,59800,20,1.48,8.766,69,31,2,6,12,27,29,15,9
138,ロコンド靴 レディース,64200,20,1.476,8.926,8,92,0,2,4,14,32,30,18
139,テレグラム,67100,20,1.435,4.428,75,25,5,13,21,23,18,10,10
140,cvポート,65200,20,1.43,7.025,26,74,1,13,13,22,25,16,10
141,星の王子さま,62300,20,1.42,6.12,31,69,7,12,14,20,21,14,12
142,生理が終わらない,58500,20,1.389,12.688,7,93,2,4,6,49,35,2,2
143,脳梗塞 後遺症,71200,20,1.386,2.08,33,67,1,4,8,17,27,22,21
144,雑談たぬき,61400,20,1.374,9.252,27,73,8,15,20,25,21,7,4
145,コンサータ,79600,20,1.361,9.288,33,67,3,14,19,27,22,10,5
146,宜保愛子,63700,20,1.321,18.282,43,57,3,9,16,21,26,16,9
1,国会,328000,110,1.447,21.677,63,37,2,4,10,19,22,19,24
2,市区町村長,150000,100,2.148,25.962,57,43,1,3,8,17,23,22,26
3,あんぱん(2025年度前期 朝ドラ),205000,90,1.751,23.745,22,78,1,1,4,11,22,31,30
4,広陵高等学校(広島県),119000,70,1.934,56.016,51,49,1,3,10,22,27,20,17
5,参議院議員通常選挙,228000,70,1.402,19.978,63,37,2,4,10,19,22,20,23
6,夏休み,72100,60,2.381,30.749,32,68,3,5,17,30,19,13,13
7,不倫報道,137000,60,1.689,38.477,37,63,1,3,11,24,27,18,16
8,野生動物による被害,74700,50,2.186,31.289,37,63,0,3,10,21,26,20,20
9,危険生物有毒生物,84300,50,2.004,23.495,39,61,1,3,11,22,26,19,18
10,兵庫県の事件事故情報,105000,50,1.795,46.683,35,65,1,4,13,23,25,17,17
11,歌舞伎,148000,50,1.584,39.534,27,73,2,5,8,18,21,20,26
12,瓜田純士,141000,50,1.413,25.464,65,35,2,7,17,29,26,12,7
13,ヒグマ,161000,50,1.395,41.883,47,53,2,7,18,27,23,13,10
14,yoshiki,145000,50,1.38,21.509,40,60,3,6,13,26,25,15,12
15,しゅり結婚相手,172000,50,1.349,43.473,19,81,1,4,7,16,27,28,17
16,風邪,166000,50,1.34,20.375,40,60,3,7,13,20,21,17,19
17,snsで話題の動物,34400,40,2.657,33.101,22,78,0,1,3,14,25,23,34
18,おひとりさま,47400,40,2.374,29.966,25,75,0,2,6,14,28,28,22
19,強盗事件,49400,40,2.224,26.974,43,57,2,5,12,23,24,18,16
20,猛暑(35度以上),86000,40,1.807,31.686,37,63,1,3,10,21,25,20,20
21,年金問題,94200,40,1.702,30.214,32,68,0,1,2,7,20,40,30
22,有酸素運動,102000,40,1.645,25.94,37,63,4,9,12,21,23,16,15
23,インフルエンサー,105000,40,1.616,33.004,49,51,2,7,15,22,19,12,23
24,ジストニアとは,116000,40,1.406,40.773,30,70,2,8,10,19,24,20,17
25,電気料金,132000,40,1.312,27.28,54,46,1,2,6,14,24,26,27
26,堀井憲一郎,23700,30,2.872,29.276,32,68,0,1,5,15,27,29,23
27,生殖医療,30800,30,2.679,29.031,22,78,1,3,15,25,21,17,18
28,国際連合(un),26200,30,2.594,19.03,42,58,1,4,10,20,23,20,22
29,ひきこもり,30300,30,2.593,20.983,43,57,2,5,9,22,29,18,15
30,ドイツ連邦共和国,37300,30,2.482,41.296,53,47,2,3,6,15,21,23,30
31,戦争の記憶,35000,30,2.295,39.647,33,67,2,3,11,23,23,18,20
32,芸能人の離婚,35100,30,2.292,55.288,26,74,1,2,12,26,24,16,19
33,執行猶予,39200,30,2.24,45.57,49,51,2,8,15,20,21,16,18
34,東京都文京区,50200,30,2.194,45.003,32,68,1,2,7,18,24,21,27
35,かまいたち(お笑い芸人),39600,30,2.15,24.863,44,56,1,2,8,22,26,19,22
36,美容整形,40200,30,2.098,46.125,31,69,2,4,9,21,27,20,17
37,ヒカル(youtuber),54900,30,1.974,35.426,41,59,2,6,23,35,22,7,5
38,千葉県の事件事故情報,49800,30,1.971,44.006,36,64,2,5,14,26,24,15,14
39,プロポーズ,56700,30,1.925,26.597,41,59,6,18,19,17,17,11,12
40,フラッシュバック,52100,30,1.842,55.987,36,64,7,12,14,21,21,13,12
41,好きな人がいること,56700,30,1.828,30.634,23,77,27,25,13,17,12,4,2
42,恐喝脅迫強要,54000,30,1.821,70.608,45,55,1,3,11,24,26,18,17
43,空咳が出る原因,53400,30,1.798,35.634,26,74,2,9,15,23,23,15,13
44,akbグループ卒業生,65500,30,1.782,20.099,41,59,1,4,17,27,26,15,10
45,デパス 効果,70400,30,1.78,20.707,29,71,1,5,9,18,26,21,20
46,静岡県の事件事故情報,62600,30,1.739,19.031,41,59,1,4,13,25,25,17,15
47,東京都港区,79000,30,1.677,33.879,41,59,0,3,9,21,26,20,21
48,倒産,73500,30,1.616,60.53,57,43,1,3,10,22,29,18,17
49,脳神経外科,88500,30,1.562,34.682,34,66,2,5,14,22,24,16,17
50,西村博之,93000,30,1.548,31.227,56,44,2,3,9,20,25,21,20
51,ハニートラップとは,81800,30,1.49,44.497,40,60,5,6,5,8,17,24,35
52,金正恩,98000,30,1.481,20.866,56,44,7,9,12,20,19,15,18
53,タイマー,88400,30,1.455,49.727,47,53,12,7,10,19,18,14,20
54,キリスト教,101000,30,1.448,38.744,46,54,6,5,8,16,19,20,26
55,リベルサス 効果,79800,30,1.437,21.87,26,74,1,8,15,24,27,16,9
56,古原靖久,84900,30,1.416,101.307,15,85,1,2,7,20,26,22,22
57,化粧品,98700,30,1.367,74.162,28,72,2,4,6,13,25,26,24
58,脊椎管狭窄症,98700,30,1.309,33.951,38,62,0,2,3,9,18,26,42
59,せのお愛(クリエイター),12100,20,3.28,33.732,16,84,1,1,7,13,23,24,31
60,イタリア共和国,18100,20,2.81,63.584,35,65,1,2,5,16,22,24,30
61,秋田県の事件事故情報,17300,20,2.748,23.729,34,66,1,4,12,22,22,18,21
62,コントミン,20100,20,2.729,24.061,34,66,1,14,18,25,23,12,7
63,フィリピン共和国,21200,20,2.711,39.879,50,50,1,3,10,21,24,19,22
64,オレキシン受容体拮抗剤,20200,20,2.685,137.853,36,64,0,5,7,12,17,26,33
65,大麻の匂い,16200,20,2.645,58.655,42,58,2,7,14,27,30,13,7
66,和解,21300,20,2.552,44.9,42,58,2,5,13,21,22,17,20
67,うつ病 治らない,22600,20,2.545,69.769,37,63,2,9,14,22,28,16,9
68,イクメン,20300,20,2.522,19.862,28,72,2,4,14,22,21,18,19
69,がん研究,26500,20,2.475,37.318,24,76,0,2,6,18,26,22,26
70,未解決事件,26500,20,2.291,77.207,50,50,6,11,17,24,22,12,8
71,空き家,33100,20,2.272,38.562,46,54,1,5,10,19,25,20,20
72,日本航空(jal),30900,20,2.268,33.795,40,60,1,4,10,19,26,21,19
73,害獣害鳥,31300,20,2.251,37.896,40,60,1,3,10,20,25,20,21
74,自衛官,35200,20,2.083,49.214,52,48,3,9,13,23,25,14,13
75,拘留とは,38000,20,2.05,28.464,38,62,2,8,12,23,24,16,15
76,行司,37600,20,2.048,27.563,48,52,1,4,9,17,18,22,29
77,心理学,34300,20,2.038,38.3,34,66,16,11,12,21,21,10,9
78,徳川家光,34600,20,2.036,94.748,49,51,5,5,8,18,19,19,26
79,快挙偉業,42700,20,1.988,27.223,71,29,1,5,11,19,21,19,24
80,ジスキネジアとは,38300,20,1.969,32.433,26,74,1,15,13,21,24,16,10
81,改名,34200,20,1.934,28.206,40,60,1,4,12,25,28,16,14
82,精神疾患 種類 一覧,42200,20,1.915,21.386,30,70,10,10,10,18,24,17,11
83,エスシタロプラム,42000,20,1.75,124.956,33,67,2,18,23,22,19,10,6
84,五月病,55600,20,1.737,43.848,37,63,15,21,16,22,15,4,7
85,救急救命士,52900,20,1.65,39.657,43,57,10,13,13,23,21,11,9
86,障害年金 2級 金額 2025,46500,20,1.647,70.535,34,66,0,5,9,19,33,21,13
87,動脈瘤,62500,20,1.643,40.488,37,63,1,4,8,16,23,20,28
88,やまゆり園事件,61000,20,1.637,67.236,31,69,4,12,21,25,21,11,6
89,株主総会,51500,20,1.637,41.971,59,41,2,5,10,20,24,20,19
90,日本一,60900,20,1.627,84.826,60,40,2,5,12,21,23,18,19
91,2014 平成 何年,56900,20,1.621,70.583,9,91,1,4,19,30,22,15,9
92,奈良市,65800,20,1.614,30.147,52,48,1,3,7,14,19,21,35
93,母子手当 支給額,45500,20,1.599,50.354,24,76,1,7,27,37,16,7,5
94,社会福祉士 合格率,48100,20,1.591,32.187,32,68,3,10,13,24,29,14,7
95,燃え尽き症候群,53000,20,1.589,43.215,32,68,14,20,18,21,16,7,4
96,見栄晴,48700,20,1.588,71.601,53,47,1,4,9,17,30,22,17
97,家庭裁判所,57500,20,1.584,132.994,38,62,2,5,11,19,23,21,19
98,試金石とは,56500,20,1.565,139.198,48,52,2,5,7,13,20,25,28
99,マズローの5段階欲求,59500,20,1.51,30.199,45,55,6,18,15,23,21,11,6
100,刹那 意味,64600,20,1.509,42.183,42,58,10,7,7,16,22,20,18
101,コルセット,56600,20,1.493,26.382,45,55,7,11,15,20,21,13,13
102,水泳,60000,20,1.476,31.615,42,58,5,4,10,21,19,17,24
103,マッサージ器,68800,20,1.451,35.676,42,58,1,3,8,21,28,20,19
104,ロキソニン 飲み過ぎ,65900,20,1.447,80.508,36,64,2,8,11,19,24,19,17
105,ページ,77200,20,1.433,25.325,40,60,3,3,5,14,24,24,27
106,diy,66000,20,1.429,67.26,48,52,1,4,10,19,25,20,21
107,給付金 3万円,58500,20,1.429,22.954,39,61,0,5,16,23,23,16,17
108,登録,76500,20,1.426,24.364,39,61,4,4,7,15,23,21,26
109,パニック障害 症状,59700,20,1.422,23.622,26,74,6,14,15,23,22,12,8
110,嫌われる勇気,65700,20,1.412,20.404,40,60,8,14,17,25,20,10,6
111,名古屋市立大学,77900,20,1.389,35.754,40,60,20,8,5,23,28,7,9
112,ウォーキング 30分 効果,58200,20,1.387,19.901,33,67,2,10,18,28,24,11,7
113,白斑,60400,20,1.383,39.576,26,74,3,10,21,26,20,11,9
114,廃用症候群とは,71400,20,1.382,32.057,27,73,3,12,10,16,25,21,13
115,腎臓癌 初期症状,73800,20,1.38,71.072,33,67,1,3,7,16,25,22,26
116,バイセクシャル 意味,78600,20,1.371,61.637,34,66,9,12,8,14,19,20,18
117,らっきょうの効能,65300,20,1.364,48.15,35,65,0,3,9,20,25,21,22
118,亡くなった人,67300,20,1.363,71.851,38,62,2,2,4,12,28,30,22
119,gps アプリ,69600,20,1.35,40.164,35,65,1,5,15,27,22,13,17
120,物価高,61000,20,1.35,31.402,46,54,3,6,15,27,23,13,13
121,畠山鈴香,58400,20,1.349,77.287,36,64,1,5,20,31,25,11,7
122,大雨,79700,20,1.339,66.527,44,56,3,8,17,27,22,13,10
123,モナリザ,73600,20,1.339,74.94,41,59,7,10,13,24,18,13,15
124,ウルソデオキシコール酸100,74200,20,1.338,32.662,36,64,1,9,9,17,24,21,19
125,スコットランド,71300,20,1.327,24.929,47,53,4,7,9,16,20,19,25
126,羅生門,72200,20,1.313,19.052,43,57,15,12,11,19,17,12,14
127,吉田沙保里結婚,68800,20,1.302,58.035,30,70,2,4,7,18,29,25,15
